Clade	Subtype
CladeD	D116_AF174571
CladeD	D117_AF174542
CladeD	D118_EF656435
CladeD	D119_EU099832
CladeD	D120_EU074900
CladeD	D121_EU074904
CladeD	D122_EU074905
CladeD	D123_EU074895
CladeD	D124_EU074897
CladeG	G1_AM748597
CladeG	G2_AM748598
CladeG	G2a_AM748599
CladeG	G3_AM748600
CladeG	G3.1_KC597688
CladeG	G3.2_KC597694
CladeG	G4_AM748601
CladeG	G100_AB253788
CladeG	G101_AJ291539
CladeE	E1_AF334659
CladeE	E100_DQ011618
CladeE	E101_AY160123
CladeE	E102_EU074924
CladeE	E103_EU074923
CladeE	E104_EU074922
CladeE	E105_EU074921
CladeE	E106_DQ485148
CladeE	E107_EU074910
CladeE	E108_EU074912
CladeE	E109_EU074913
CladeE	E110_EU074914
CladeE	E111_EU074915
CladeE	E112_EU074916
CladeE	E113_EU074908
CladeE	E114_EU074909
CladeA	A1_AF333505
CladeA	A1.1_AF333504
CladeA	A1.2_AB207210
CladeA	A1.3_HE578976
CladeA	A1.4_HE578977
CladeA	A2_AF333506
CladeA	A3_AF333507
CladeA	A3b_EU449043
CladeA	A4_AF333509
CladeA	A4.1_FN429760
CladeA	A4.2_FN429761
CladeA	A4.3_FN429763
CladeA	A4a_AF499778
CladeA	A4a.1_FN429762
CladeA	A5_AF333508
CladeA	A6_AF186058
CladeA	A7_AY239360
CladeA	A8_AY258468
CladeA	A9_EU449028
CladeA	A10_EU792882
CladeA	A11_EU449041
CladeA	A12_EU792883
CladeA	A13_AF333504
CladeA	A15ab_EU7928
CladeA	A15c_EU792887
CladeA	A16_EU792888
CladeA	A101_AF427468
CladeA	A102_AB207209
CladeA	A103_AB207206
CladeA	A104_AB207203
CladeA	A105_AB207202
CladeA	A106_AB207200
CladeA	A107_AB207199
CladeA	A108_AB207197
CladeA	A109_AB190285
CladeA	A110_AB190282
CladeA	A111_AB190280
CladeA	A112_AF184949
CladeA	A113_AF184948
CladeA	A114_AF184941
CladeA	A115_AF180123
CladeA	A116_AF183575
CladeA	A117_AF201746
CladeA	A118_AF180120
CladeA	A119_AF180121
CladeA	A120_AF180122
CladeA	A121_DQ174722
CladeA	A122_EF378619
CladeA	A123_EF378618
CladeA	A124_EF378617
CladeA	A125_EF378616
CladeA	A126_EF378615
CladeA	A127_EF656429
CladeA	A128_EF656430
CladeA	A129_EF656431
CladeA	A130_EF656428
CladeA	A131_EF656432
CladeA	A132_AB190284
CladeA	A133_DQ174725
CladeA	A134_DQ174723
CladeA	A135_DQ174727
CladeA	A136_DQ865210
CladeA	A137_EF378621
CladeA	A138_EF378620
CladeA	A139_EU074962
CladeA	A140_EU074930
CladeA	A141_EU074931
CladeA	A142_EU074932
CladeA	A143_EU074933
CladeA	A144_EU074934
CladeA	A145_EU074935
CladeA	A146_EU074936
CladeA	A147_EU074937
CladeA	A148_EU074938
CladeA	A149_EU074929
CladeA	A150_EU074928
CladeA	A151_EU074925
CladeA	A152_EU074927
CladeA	A154_EU074860
CladeA	A155_EU074856
CladeA	A156_EU074859
